Company_Name,Sector,Stage,Location,What_it_does,Funding_Amount($),Year,Investor,Redistributed_sector
TheCollegeFever,Brand Marketing,Seed,Bangalore,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",250000.0,2018,Inflection Point Ventures,Media & Advertising
Happy Cow Dairy,Agriculture,Seed,Mumbai,A startup which aggregates milk from dairy farmers in rural Maharashtra.,3000000.0,2018,Inflection Point Ventures,Agriculture
MyLoanCare,Credit,Series A,Gurgaon,Leading Online Loans Marketplace in India,3000000.0,2018,Inflection Point Ventures,Finance
PayMe India,Financial Services,Angel,Noida,PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,2000000.0,2018,Inflection Point Ventures,Finance
Eunimart,E-Commerce Platforms,Seed,Hyderabad,Eunimart is a one stop solution for merchants to create a difference by selling globally.,3000000.0,2018,Inflection Point Ventures,E-Commerce & Retail
Hasura,Cloud Infrastructure,Seed,Bengaluru,"Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",1600000.0,2018,Inflection Point Ventures,Technology & IT
Tripshelf,Internet,Seed,Kalkaji,Tripshelf is an online market place for holiday packages.,3000000.0,2018,Inflection Point Ventures,Others
Hyperdata.IO,Market Research,Angel,Hyderabad,Hyperdata combines advanced machine learning with human intelligence.,3000000.0,2018,Inflection Point Ventures,Others
Freightwalla,Information Services,Seed,Mumbai,Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,3000000.0,2018,Inflection Point Ventures,Others
Microchip Payments,Mobile Payments,Seed,Bangalore,Microchip payments is a mobile-based payment application and point-of-sale device,3000000.0,2018,Inflection Point Ventures,Finance
BizCrum Infotech Pvt. Ltd.,B2B,Seed,Delhi,Building Transactionary B2B Marketplaces,3000000.0,2018,Inflection Point Ventures,Others
Emojifi,Internet,Seed,Bengaluru,"Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",3000000.0,2018,Inflection Point Ventures,Others
Flock,Apps,Seed,India,Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,3000000.0,2018,Inflection Point Ventures,Others
Freshboxx,Food Delivery,Seed,Hubli,"Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.",3000000.0,2018,Inflection Point Ventures,Food & Beverage
Wide Mobility Mechatronics,Industrial Automation,Seed,Bangalore,Wide Mobility Mechatronics is a Private Company limited by Shares,3000000.0,2018,Inflection Point Ventures,Manufacturing & Industrial
Pitstop,Automotive,Seed,Bengaluru,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,3000000.0,2018,Inflection Point Ventures,Transport
Mihuru,Finance,Seed,Mumbai,Mihuru is an online platform which gives micro loans for air travel .,150000.0,2018,Inflection Point Ventures,Finance
Fyle,Accounting,Seed,Bengaluru,Fyle is an intelligent expense management platform for enterprises.,1100000.0,2018,Inflection Point Ventures,Finance
AppWharf,Artificial Intelligence,Seed,New Delhi,Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,3000000.0,2018,Inflection Point Ventures,Technology & IT
Antariksh Waste Ventures Pvt ltd,Internet of Things,Seed,Chennai,Waste Management for Smart Cities,3000000.0,2018,Inflection Point Ventures,Others
Cogoport,Air Transportation,Series A,Mumbai,Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,6000000.0,2018,Inflection Point Ventures,Transport
PaisaDukan,Financial Services,Seed,Mumbai,A P2P lending marketplace platform,650000.0,2018,Inflection Point Ventures,Finance
Sleepy Owl Coffee,Food and Beverage,Seed,New Delhi,"Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",3000000.0,2018,Inflection Point Ventures,Food & Beverage
BlueJack,Autonomous Vehicles,Seed,Delhi,Delhi-based online used vehicles marketplace.,3000000.0,2018,Inflection Point Ventures,Transport
PregBuddy,Enterprise Software,Seed,Bengaluru,PregBuddy is a smart connected care platform for expecting mothers.,3000000.0,2018,Inflection Point Ventures,Technology & IT
AgNext Technologies,Agriculture,Series A,Mohali,AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,3000000.0,2018,Inflection Point Ventures,Agriculture
Pando,Logistics,Seed,Chennai,A startup which digitizes logistics operations for Fortune 500 companies.,2000000.0,2018,Inflection Point Ventures,Transport
Mintifi,Financial Services,Seed,Mumbai,Online lending startup based in Mumbai.,2000000.0,2018,Inflection Point Ventures,Finance
Carcrew,Automotive,Seed,Mumbai,India's Online Auto Repair Marketplace,2000000.0,2018,Inflection Point Ventures,Transport
NicheAI,Artificial Intelligence,Angel,Hyderabad,Early stage Artificial Intelligence (AI) start up.,3000000.0,2018,Inflection Point Ventures,Technology & IT
Chariot Tech,Internet of Things,Seed,New Delhi,Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.,3000000.0,2018,Inflection Point Ventures,Others
Ideal Insurance Brokers/ 121Policy.com,Insurance,Seed,Kolkata,Ideal Insurance Broking is one of the leaders in insurance broking domain.,1000000.0,2018,Inflection Point Ventures,Finance
Loanzen,Financial Services,Seed,Bangalore,Loanzen helps small businesses get unsecured working capital loans against their their pending invoices.,3000000.0,2018,Inflection Point Ventures,Finance
Mojro Technologies,Information Technology,Seed,Bengaluru,Mojro envisions to be the world's largest technology-enabled logistics platform.,650000.0,2018,Inflection Point Ventures,Technology & IT
Elemential,Blockchain,Seed,Mumbai,"Blockchain Development Platform To Design, Run & Scale Blockchain Networks.",1000000.0,2018,Inflection Point Ventures,Technology & IT
Loadshare,Industrial Automation,Series A,Bengaluru,LoadShare is India’s fastest growing logistics company,5000000.0,2018,Inflection Point Ventures,Manufacturing & Industrial
Yumlane,Food and Beverage,Series A,Mumbai,Food startup Yumlane operated by QwikPik Technology,4000000.0,2018,Inflection Point Ventures,Food & Beverage
Kriger Campus,Education,Seed,New Delhi,A Education Start Up.,3000000.0,2018,Inflection Point Ventures,Education
Pipa+Bella,E-Commerce,Series A,Mumbai,Pipa+Bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,1000000.0,2018,Inflection Point Ventures,E-Commerce & Retail
Kaleidofin,Financial Services,Seed,Chennai,A fintech platform.,2800000.0,2018,Inflection Point Ventures,Finance
Chakr Innovation,Renewable Energy,Seed,New Delhi,Chakr has developed the world’s first retro-fit emission control device for diesel generators.,3000000.0,2018,Inflection Point Ventures,Energy & Environmental
IndigoLearn,E-Learning,Seed,Hyderabad,India's the premier education destination catering to the needs of aspiring students of the CA community.,150000.0,2018,Inflection Point Ventures,Education
UClean,Clean Energy,Seed,India,UClean is a tech enabled laundry service provider.,3000000.0,2018,Inflection Point Ventures,Energy & Environmental
Coutloot,E-Commerce,Seed,Mumbai,The Fashion Re-commerce platform.,1000000.0,2018,Inflection Point Ventures,E-Commerce & Retail
Letstrack,Apps,Seed,New Delhi,"Letstrack GPS tracking devices to track your kids, bike, car and other vehicles. GPS trackers for Vehicle Tracking System in India.",1700000.0,2018,Inflection Point Ventures,Others
Pooltoo,Transportation,Seed,New Delhi,Pooltoo offers a premium ride sharing platform.,3000000.0,2018,Inflection Point Ventures,Transport
Finzy,Financial Services,Seed,Bangalore,finzy is the premier peer to peer lending solution in India.,1300000.0,2018,Inflection Point Ventures,Finance
Fitternity,Fitness,Seed,Mumbai,India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey,2000000.0,2018,Inflection Point Ventures,Sports & Fitness
Keito,Artificial Intelligence,Seed,Pune,Building an Intelligent Digital Assistant.,3000000.0,2018,Inflection Point Ventures,Technology & IT
Tolet for Students,Hospitality,Seed,Jodhpur,"Reserve your Room, Hostel or Paying Guest, while relocating for higher education.",3000000.0,2018,Inflection Point Ventures,Health & Medical
Chai Kings,Food and Beverage,Seed,Chennai,Chai Kings is a tea retail chain,3000000.0,2018,Inflection Point Ventures,Food & Beverage
Dainik Jagran,Media and Entertainment,Seed,Kanpur,Dainik Jagran is a media and communications group.,3000000.0,2018,Inflection Point Ventures,Technology & IT
Playtoome,Broadcasting,Seed,Bengaluru,Playtoome is a live entertainment destination,3000000.0,2018,Inflection Point Ventures,Media & Advertising
ONGO Framework,B2B,Angel,Hyderabad,ONGO Framework is a B2B IT and digital solution provider.,1000000.0,2018,Inflection Point Ventures,Others
Notesgen,EdTech,Seed,New Delhi,A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.,3000000.0,2018,Inflection Point Ventures,Education
Arogya MedTech,Health Care,Seed,Kolkata,Arogya MedTech is a Research & Development organization in Bio-Medical industry.,3000000.0,2018,Inflection Point Ventures,Health & Medical
Propshop24,E-Commerce,Seed,Mumbai,"Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",500000.0,2018,Inflection Point Ventures,E-Commerce & Retail
myUpchar,Health Care,Series A,New Delhi,To bring health issues to people in their language.,5000000.0,2018,Inflection Point Ventures,Health & Medical
MissMalini Entertainment,FinTech,Seed,Mumbai,"MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians.",3000000.0,2018,Inflection Point Ventures,Finance
Rooter,Sports,Seed,India,Rooter is a mobile-based platform,3000000.0,2018,Inflection Point Ventures,Sports & Fitness
ZestMoney,Big Data,Series A,Bangalore,Zest is India's first completely automated consumer digital lending platform.,13400000.0,2018,Inflection Point Ventures,Technology & IT
alphaics Corporation,Cloud Computing,Seed,Bengaluru,Advancing AI compute,3000000.0,2018,Inflection Point Ventures,Technology & IT
MyDentistChoice,Health Care,Seed,Hyderabad,MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,500000.0,2018,Inflection Point Ventures,Health & Medical
Sattviko,Food Processing,Angel,New Delhi,Sattviko fosters wellness and shares Indianness through the Sattvik way of cooking that is wholesome and tasty!,3000000.0,2018,Inflection Point Ventures,Food & Beverage
Sensibull,Trading Platform,Seed,Bangalore,Investment Management Platform,3000000.0,2018,Inflection Point Ventures,Finance
Bombay Shaving Company,Consumer Goods,Series A,New Delhi,Bombay Shaving Company is a Men's grooming startup,3000000.0,2018,Inflection Point Ventures,Others
MedCords,Health Care,Seed,Pune,Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,3000000.0,2018,Inflection Point Ventures,Health & Medical
University Living,Education,Seed,New Delhi,University Living is an online global student housing marketplace.,3000000.0,2018,Inflection Point Ventures,Education
&ME,Food and Beverage,Seed,Bangalore,Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,3000000.0,2018,Inflection Point Ventures,Food & Beverage
